Username,Comment
Seyed Backer,"FEKKU  FAMILY  REJECTED 
NO  ONE  EXPECTING  FROM  FEKKU 
1- MERCY 
2- FAITH
3- FAMILY AFFECTION 
4-CHILD  TRUST 
WASTE OF TIME 
FEKKU  CRICKET 
AMBIRE ..ADANI ....AMBANI..
WICKET 
43..OUT"
Shaila jaya,Fully paid ppl stay to do drama till republicday  few genuine will move out and few Khalistan/ China / pak / congress sponsored ppl will stay do drama till action from govt is taken ... first felt bad for formers but when slowly things unfolded like pizza peg party and gym etc ..within a month we got to know this was never farmers moment it was more of anti modi rahul pappu  sponsored groups
Pankaj Bhardwaj,Thanks for updating on Farmers agitation INDIA TODAY 
Super Nova,"In short Farmers lost..As Mota bhai is unmoved..
Who are they peacefully protesting against,  the ones who has voilence ingrained right into their marow."
Jay Aggarwal,Dumb Sonia Gandhi only knew that no. of farmers are not even 1% of total farmers.
Shalini Nair,"Half of these so called farmers have already left bcos of bad weather... Those left behind doing this circus will leave only after they make international headlines on Republic day   Their intention is not to solve the issue but to prolong it, otherwise they wouldn't have announced the tractor parade, before talks on 4th Jan....."
Krishan Das,Nothing wrong with new farmers laws...
Gurpreet Sungh,Wy not answering this question yeh tyari pehle b ki jaa skti thi or wy u people not supporting farmer
Avizo Miario,this is Reason for Barricade
You Tube,"Surprisingly for 2 mo. No violence, Maha panchayat no violence but on 26th Jan violence - Public knows everything & who really did the violence. Why has police not arrested Deep Sidhu the BJP agent who did the violence to spoil farmer names"
You Tube,New international border has moved to Delhi. Waste of public funds - what a joke Indian government has become.
kunal ou,Sir this is the last time... No one will ever forget what happing right now.... This will cost bjp pary... In 2024 and so on...
Don Don,"Because of these many students could not attend KVPY exam, which was on 31st January. Many more entrance exams are coming. Interact with students on teachers day is not means that....you care for students"
Gulam Nabi,Shame on Delhi Police
Don Phe,"Question to be Answered 
Not Question to the asked to questioner 
May be he didn' t get the question right 
Action to nab the culprit is soloow or  intentional or already captured.
Jai Jawan Jai Kisan"
Madhavan T,Police should not give another chance to those criminals to attack them or to indulge in violence or insult our national symbols. Violaters should b strongly dealt with. We cannot afford to have more violence.
Frank Watson,This police man afraid of Hindustan Times but he loves Godi Media
Frank Watson,This police man got millions from govt. that's why he is licking 
deepika sethi,"Police has not strengthened the existing barricade but they have done permanent barricading which is wrong,they don't care about local residents' problems in commuting.Yes we did ask that how security lapse occurred at Lal Kila but police has no  answer to that."
Sumit Sood,Pehle hi laal qile k bhr lgate or borders pe b...shi h...bewakof log the jinhone laal qile m ye sb kia...idiots
abdul karim,Police  are  being  controlled  by  bjp
Dr.Jasminder Singh,Shame on indian Government
vip129870,"Fake Farmers will not even meet with Government to discuss the bill...this is after years of asking for reform due to suicides, drought, faulty MSP pricing, etc! It is only an attack on Modi and the fake farmers are trying to cause anarchy."
vip129870,"Satyameve Jayate.....thank you, Police. These are Far Left, Canada-Funded terror groups who want to defame Indians."
sunu j,"When the rulers are afraid , fortress will be built"
J Kaur,"You purposely didnt control the situation. We also have videos of police taking selfie with the farmers at red fort. And sitting on the side instead of stopping.  There was no violence until that point. So what happened. Obviously it was preplanned. The way barricades are installed at Delhi borders, I wish you had installed at the borders where China built a village inside INDIA."
J Kaur,Government is definitely responsible
J Kaur,"Dont mislead. You were in the position to control but you purposely didnt.  Now, you are barricading as if China is sitting at Delhi borders."
Aseem Raturi,@1:44 Our journalists are impeccable. Just the studios are messed up!
Ats kj,We have to listen both the sides
Amarjit Raju,"Since Delhi is building walls and borders to stop the public to enter or leave. Farmers needs to build a Trojan Horse like Greeks built one to enter the City of Troy and won the war. ( Trojan is a huge hollow wooden horseconstructed by the Greeks to gain entrance and win the City of Troy during the TrojanWar.) The moral of the Greek war is no matter how smart you are, your greed will make you fall. The same goes for these goons. BJP, RSS are so greedy they want everything for themselves. And it will make them fall into their own greed trap to lose everything. Stay strong brothers, their end is near. We will see them with shit on their faces in the near future."
Amarjit Raju,"Shame for doing this. NO free Press allowed, building a border within the Country. We are not far away from beating North Korea's track record."
Francis Ruban,Police commissioner is talking like stupid
Gur Jhawar,What about all those bjp workers?  Will the police arrest them as well.
Kissan Union Zindabad,Bring our kissan sons back from border and send these policemen to BORDERS let's see how these policemen deal with China
Mani Aulakh,"This is mudder of indian democracy by our prime minister Modi , i fell ahame that i born in India #justiceforkissan"
Arsh Dhaliwal,Shame on delhi police. Puppet of central govt
power ranger,Government should go ahead with the Bill
Mogrein Atrous Nema,Jallian wala bagh under construction. .
DEBES CHANDRA PARIA,"AVI THOKAI CHALU KORO, DESHDROHI KO RELIEF NAHI HONA HAI."
M,"It's so funny during CAA protest, delhi riots, everyone blamed one person Tahir Hussain, and now this police officer doesn't want to take one person's name. It's a sad sad day in our country. Only way to show solidarity with farmers is by  coming to roads. All Indians come together in each state in each village in every road. Everyone all at once ! This nation needs to be protected from the current goons ruling our country and not our protestors!"
Ahmed Ross V,"This Not a police officer janab, this Man BJP party network Man Or RSS network people
From :Chennai city ,Tamil Nadu, South India."
chinmayee r,"Very strange police

Guy who climbed the pole is invisible?

Who created barricade to divert farmers from POLICE APPROVED ROUTE...

ALIENS kept barricades on APPROVED ROUTE

Indians are patriotic turning more patriotic

Few GOVERNMENT ""servants"" are turning more ""sincere"" to the RULERS just for few pension, powers, promotions

LONG LIVE CORRUPT GOVT OFFICIALS!!!!!

CANT ONE GOVT POLICE IAS IPS RESIGN and come to media to REVEAL TRUTH

Is cowardice distrust non-patriotism taught in dehradun IAS IPS training academy....SAD ...DEATH OF HONESTY IN IPS"
Asad Mehmood,"Ye tyari pehle bhi to hosakti thi 1:45 ?? 
Why he didn't reply??????? What did he is hiding??"
Asad Mehmood,"Why they didn't done this before 26th jan.?  Yes...And here the reporter asked this question to him 1:45   and he didn't reply   

Did govt wanted that incident to happen ?"
abhitendra sarvesh,"All are not farmers, some of them are scoundrels who just try to take revenge from country & countries commercial assets.
Delhi police should be prepared because their intentions are always to destroy public places & take revenge in any of the form."
Foot in your Ass,I can see alot of buthurts opportunist calling the barricading the protest site is inhuman and violation of human right! I mean seriously? Last time when you people charged on police force in the name of farm protest didn't u guys see what happened. They were lucky that  day that police didn't used any force on farmers . Otherwise it would have been bloodbath for sure. I have seen 100 farm protest in my lifetime but not like this.
Rupinder Thind,"Shameless police.... have lost all their conscience. Nation is not a geographical boundry, it is the people that dwell within it. 
Orwellian India!"
Sahota,They dont want to talk about vyaktivishesh because deep is one from them
new reach,"Coming up : Barricade cess on gst.
Revolution stage: Modi stops roads now farmers will attack by drones."
Sneha,violence from a few idiots has undermined the farmers cause. hope this does not give the govt an excuse to go ahead with the bill
Jovandeep Singh,Police in support of bjp gundays
ujjwal khanna,Amit shah ke tommy se kya pooch rahe ho .
Nava Nayan,Well said sir to thiss fakerss
Vipin Gautam,"My Views:
In any situation, the current government should be held responsible be it the 26th Jan incident( it was government failure) or the ongoing current protest. They have intelligence, Police, and whatnot. 
They still have not been able to arrest the alleged actor Deep Sidhu. 

People of Delhi/NCR are suffering. Daily commute has become so so inconvenient, I consider it a government failure. 
Do you????"
The Lunghar Guy,"Cant even block Chinese agression
But blocking farmers using everything.
Use those barricade to stop Chinese instead."
sarvesh kumar Singh,Shame on you
ajay dhariwal,Deep sidhu is your brother.
ajay dhariwal,"We are all know, whom you are working for. It's BJP."
Frank Ribery,When will Delhi police who were brutally beating farmers be punished?
YOU TECH BRO TAMIL,Delhi police is not eat Indian foods
kamaldeep singh,"Yeh keel he BJP Ko puncture krenge . Aur police jo ik trfa rol nibha rhe hai us pr bhi pooch lo.sindhu border pr khud gunda BN gye Delhi police jo caron k sheeshe tod rhe the, medical team ko peat diya. Us pr bhi pooch lo bhai is gulam se"
He- man,26 Jan m km kaam keya to prblm logo ko abb bechare krr rhe to b Problem police is right
Theethan theethan,He should have been sent to indo Chinese border!!!
Diwakar Rana,"Trap them, if not they will burn the whole city."
Learning Quark,US Police Directly kill the people.....then what? The bad element should be treated like this.
awinash singh,"So that they won't able to send their man to unleash violence like republic day and claims to be innocent. Any other states don't  have any rights to block another state for protest,Delhi isn't enemy country and this isn't medieval time where you can gather the crowd and attack neighboring state."
Kuldeep Singh,BJP call 9797475207    PB08 EE 37 22  9463829100   9779 980729call news
Kunal Seth,"India needs more reforms, support farm bills  "
sasanka,"Its just their profession.. playing emotional in that name..
Looters of the nation"
AT," farm laws tho pdh lo atleast.

 Mandi ya MSP band hogi tho hmm protest krrege tumhare sath but aasa hoga nhi"
Subodh Mishra,All types of subsidies including farm loan waiver  and msp should be immediately stopped as it is onslaught on the  hard working middle class taxpayers with no jobs guarantee in highly competitive and cut throat world.this so called farmers get their livelihoods in inheritance and if not Butter then at least roti and roof on the head is guaranteed but even highly qualified professionals are not sure from where theirs next meals will come.'
Aryan Sharma Official,Shabash very good
Cheese bagel,"People are like from where are we getting funded. We donate 1/10th of our income for the needy,  moreover the people living abroad are mostly prosperous and send huge help to our brothers and sisters who are protesting. Agencies like khalsa aid and many others are working to raise funds. Dont get shocked by the fact that farmers have ACs. We have earned it not annexed it like most in politics"
Dibakar Ghosh,Its become fashionable to seize Delhi first CAA protests  then Farmers protest  . Tax payers of Delhi are facing the problems. Also the insecurity has increased.
Dibakar Ghosh,Most of these folks cannot even tell what the farm Bill says
Dibakar Ghosh,Not sure  how are they getting funded. I have lived in UP and Bengal Bihar never seen farmers having so much of cash  to spend
Akash Kumar,"          ,AC Cooler TV Fridge    Audi"
anand singh,"No dought , calculation of modi govt is much better then kisan union"
GURVINDER SIDHU,Why saurav drivedi is not going to farmers protest
Harsh vardhan Gupta,"Farmers ke ghar me ac bhi hoti hai. 
I am shoking."
pv,"HEBBY KISSAN HO TUM YAR
AC
And they need MSP,this shows total wastage of tax payers money."
Samu Adhikary,# Stop privatization of public sector bank
Anonymous,Farmers of Maharashtra dont have pucca home to live due to policies of  all the governments. I appreciate the efforts for Modi Gov. and really of hope that the new laws will help farmers to improve their situation. Keep up Modi gov.
Arpit Raj,Hi-tech protest of 21st century 
Sandeep Upadhyay,"Kisano ke ghar me AC aur Fridge 
They r doing suicide because of bank loan"
Gurpreet Singh Brar,Ye mere village se hai or mere uncle bhi hai inme good job proud to you 
Sandeep Jain,"Our farmers are CROREPATI
INVERTER, AC, BUS, LED, REFRIGATOR, Saab"
Jaskirat Sandhu,Save farmers save nation 
Zee Islam Web,Well done dear all farmers. You are the real fighters. We are with you.
Baljeet Kaur,"The State of Panjab needs protection, as well as other states who are protesting right now....they need support to grow its economy, industry, to clean environment, ecology, employment, right wage, housing, clean water,  just to mention few, also, income that not only support their day to day life but have surplus to buy food that is nutritious!!!!!! etc..
There are some MPs who are working hard to name one,,,    Recently, Bhagwant Maan brought out some of the fruad out in the open and held a meeting with the press, in which he brought peoples letters and bills showing,  that the government gave the city of Dehli free electricity, but Panjab they were charging people 3,000 and above ruppees...........also, Bhagwant Maan visited villages where the electric board had cut off electricity.....Bhagwant Maan also caught traffic officers blocking people and asking for bribes...in one village the bridge had broken in half a year ago and the officer in charge done nothing......knowing that children used the bridge to pass over and everyday people to carry out their daily life......
....................these officers and angecies in charge should not get away with this kind of crime, felony, atrocities, damage to the country's people and mismanagement......

there is so much talk about CM of Panjab being threatened and many more who wants to do something about the problems created by the government and the government is frightening them and their  officials and employees
When the people are being threatened by the government, people need to have recorded evidence and expose the government.  or ask the government to put it in writing.......whatever the action need to be taken rather than verbal, so that it caan be evidence from which person it came from........this is one of the way to eradicate corruption....also, the courts need to protect the vulnerable .... the judicial law has to step in and apply the law.....to save india; India is becoming a mockery in the world..................................because there is no intelligent system.
I say, to those, stop making lot of noise in rajya sabha and lok sabha and do some real work...discuss the work not done but was promised.  ask repeatedly and don't get tired of it...................and those who are not doing their work....remind them, when you get hired,,,its all about the performance........and not just about the seat and looking good and sitting pretty......do some work for a change, you get paid for it.................if you don't tHAT MONEY WILL BE TAKEN OFF YOU AND GIVEN TO THE POOR.............................DO YOU KNOW THAT SYSTEM..............?
we want  MPs and related officials, who suppose to be looking after the citizens of the country, to work hard and not just get paid for coming to the office................
the phenomena is being seen over and over agian, where many MPs  being interviewed by TV , and REPORTERS, where the interviewer consistently asked them, what have you done for the people?????these many MP's had nothing much to say.....Because the question was you have been in government for few years, what have you done?
 we are still waiting for you and your agency to do something.  People are tired of false promises.......

I say, .Let these MPs have  a warning, to be not inactive, MPs who are full of talk but no action.....and no realism, or argument to solve issues, neither challenging the structure, function, transaction or the false behaviour and irrational mentality of leaders of the country .........................instead, they take the attention away from them and try o create false agenda....

Let me ask you a question, when you are hired there is description of the role you are hired for, if you can't do the job.....don't take the job.....
You must have understood that the performance is needed in a job.....not silly arguments to make yourself look good that you can talk....talk is cheap......
additionally,  there are lot of MPs taking pictures with their colleagues in a higher position and smiling, how can you sleep at night when people who are of your parents age are sleeping ruff on the streets
..I say shame on you,, what are you proud of......having a seat means nothing, you lot are a burden to the society.
and so does the whole of Rajya Sabha, Lok Sabha, State CMs, Amit Shah, and agencies as such and those who are gone deaf and dumb and blind.......mindless.."
Baljeet Kaur,"1.  there should be discussions on saving Sikh life, the minority, 2% of Sikh people in India, who are busy feeding and looking after rest of India and in return, no acknowledgement or development of state of panjab, nor caring for its stability, no problem solving, no productive change, and no real political sense or order operating in the state of panjab for their security, well-being, projects of employment, or other means of income  or resource.  I let and encourage people of other states to raise their voice too, its not one man/woman war}.
2...Discuss the growth of diversity, and give analysis, of the discipline of politics, method of politics, investigate the the gatekeepers of the political world, challenging, by using agencies from abroad.  There are plenty who have links and expose bad running of the political system. Get together elected representatives and make them talk......when they get phone calls of bribes and asking them to move over to their parties, ask them put it in writing and record their conversation also as proof of evidence....
the public is the judge, judge the institution and their wisdom.  bribery is nothing to laugh, but people have in the past,  that's why things have got so worse now      ....know this  people, bribery is a felony and unlawful, report and here should be FIR against these people and not against innocent farmers...
3...ask why modi is bringing back master and slave culture.  Its old hindu system function, why modi is walking backward, it did not work then.  It will not work in this contemporary,  modern and educated world!!!!!"
Dj Rajesh Keonjhar,I'm Always Support To Farmers I'm Belong To A Formers Family My Family Members Are The Farmers Jay Jaban Jay Kishan
Mahib Alam,"First they came for the socialists, and I did not speak outbecause I was not a socialist. (Replace socialist with seculars)

Then they came for the trade unionists, and I did not speak out because I was not a trade unionist. (Replace TU with Farmers)

Then they came for the Jews, and I did not speak outbecause I was not a Jew.
(replace Jew with Muslims)
Then they came for meand there was no one left to speak for me.(it's you) 

Famous Nazi quote"
Priyanka Routela,"Please dont Stand with Farmers , Bcs they dont have one STAND."
Mohammed Zaid,Again zamindari system has started but in future every one will suffer mostly poor and middle class family what is going on in  india really its bull shit
mohith Kumar,"They are not framers they are paid congress brokers,  making violence in society,  not necessary to strick, weaste of time"
ahmed khan,Fucked Up News Channel
r@ck,Govt please tell military to handle this they will take care of this
Bharat Pandit,This is politically motivated by vested interests hell bent on stopping this and future reforms. Government must stand firm on the bill.
Pankaj Bhanushali,But won't it be better for farmers themselves if they get to choose the selling price?
474747suman,"Why only punjab and hariyana farmers in protest and why opposition only maki g protest and not farmers in all other states,,,"
darasdeep chadha,"It's a law for the farmers that they don't want. If the government is so keen to help them then listen to them. You say the law is for them they, don't like it so remove it. They work and know more than the once's sitting in ac offices."
wilfred pereira,War with whom??? What rubish title..godi media
mshoora 1312,"I am still not clear about the issues involved in the Farmer's agitation. So, I asked a friend of mine, who besides engineering is a farmer from Abohar - Fazilka region of Punjab. Now, after retirement he is a full time farmer.

This is what he told me.
""I have been actively farming for almost two decades now and I have witnessed many things happen at APMCs.

I have seen classifications of C grade grain miraculously change into B grade grain.

Similarly I have also witnessed the weigh bridge weigh in the empty truck at 39 tons and the full truck at 55 tons and later found that the unloaded truck weighed 43 tons at another weigh bridge.

Yes I know, you know what I know. Yet, let me tell you more about what you may already know.

There are over 30,000 registered adtiyas in Punjab.

These 30,000 employ another 300,000 sub agents or sidekicks or people who wouldnt have made it into doing anything anyplace were it not for the patronage network of these 30,000.

There are only 1500 farming villages in Punjab.

330,000 / 1500 is about 220 people on average per village doing the work of middlemen.

Why is this the case?

Its a long story but someone needs to begin talking about this at some time.

We had a food shortage and a ship to mouth existence until the 1970s.

Norman Borlaugh pioneered a variety of wheat which gave 10 X the yield but needed 3X the fertiliser.

The Punjab was chosen as the battleground against hunger. Enterprising Sikh farmers worked hard to Create what we know as the green revolution.

Since there were huge shortages. Laws were made which didnt allow for stockholding or selling at farm gates.

Essential Commodities Act
APMC Act (farmers were compelled to sell only at APMCs to licensed traders - remember license permit quota Raj?)

As an assurance to the farmer for his hard work. Minimum Support Prices were guaranteed.

No matter what the quantum. Sarkar would pick it up and provide farmers with a minimum amount as compensation per quintal or ton as the case maybe.

Getting money out of the sarkari treasury is a muck filled process. Thus was born the breed of middle men who walked the corridors of bureaucracy, government and worked corrupt sarkari babus.

political patronage networks flourished.

 220 : 1 is the ratio of middlemen to a single village in Punjab today.

This business got integrated backwards.

Corruption was professionalised.

For instance, I have in my circle of influence or immediate family, folks who own very large tracts of land. (100 acre plus holding).

The thekedar comes and takes the theka of growing on the land. For those unfamiliar with the word, Theka its also referred to as contract. I know there are grumblings about corporates contracting with farmers directly now. I also know why. You should too.

Anyways; to cut a long story short.
Plenty Farmers do, not much except receive their due at the end of each cropping season.

What is grown?
What grade or quality?
For how much is it sold?
Would it have fetched the similar price in the open market?
Where is it sold?
How is it sold?
Whos the end beneficiary?
Does anybody consume it or does it go to waste?
Was there a better way to do whats being done?

All the above is none of my business or yours.

As long as you receive your cheque.
Why do you care?

The Jamkhedkar committee meanwhile reports that over 40% of the grain acquired under MSP by FCI is either unfit for consumption or is simply wasted.

All Told, One out of every Two kilos acquired is wasted.

Years of perfidy have today given birth to this.

MSP has ensured that there is no necessity to seek profitable enterprise.

Its also given birth to the patronage networks which survive off the sarkari teat and refuse to breakaway.

Its given rise to a political class which thrives and survives of being Specialist Corrupt Thugs.

There was no sunset clause on this. Nobody foresaw a time of surplus production on food grains.

Result; all other states such as Haryana, UP, Bihar, Rajasthan & MP all produce surfeits of Grain. They also have their own MSP mechanisms which have proliferated and created similar political patronage networks.

Since more is acquired at Mandis in Punjab. Remember the central government promise. Grain from UP and or Bihar also finds its ways into the mandi system of Punjab.

The trucks being under weight and over paid for and the grades changing are common place practise, you can go for a few days to the mandi and figure out how to make a killing by doing this. I dont advise it, this is what the system is current day. I advise, Try doing truthful clean work. Its more fulfilling.

Soon enough, youll also be one of those know it alls in the mandi who doesnt talk to others. After all information is power.

All this is paid for by you dear tax payer.

The annual bill for this is approximately 8 lakh crores.

Why dont the farmers grow something else.
Something more profitable.

If Im being paid for doing precisely nothing.

Why bother with competing.

Where is the incentive to compete?

I would rather go and picket the roads leading into Delhi to ensure that the existing system isnt threatened.""
Quite a racket ! What a shame."
Esha Johal,Modi you should be ashamed of yourself.
Rajesh Swamydhas,138 Crore- people of Indians are eating daily food because of farmer day& night effort and hardship. Should the PM and CM's sensible to that? No concerns by GOI so far
Sanjay Boddu,Support from Andhra Pradesh
MK,Save nation from BJP.
Sunny S,Modi must resign along with Amit shah. Support our farmers.
R Kmen Dkhar,I am pity for Farmer
WHO AM I ?,BJP Channel India Today shame shame
Scaria Thoppil,The problem is that the government has lost the confidence of the farmers.
Joy Mangalath,Why the government implement.the law. Without discussing with farmers befor .this government is a group of crooks
Shamsudheen shamsu,"Mr, Modhi& sha  they are fake, every Indians especially knew very well Farmers,, therefore Modhee.. Amith sha should remove the new laws, This will be quite otherwise center Government will have to taken much difficulty,"
Goutam Bora,"It is beyond any understanding, that our Home Minister Amit Shah is putting another pre-condition for talks with the farmers! After so many months of relentless protests of our brave farmers, the government without any positive response till now, how can he put another condition for resuming talks? It is ridiculous from the side of the government to talk like this!"
Savitha Savitha,Support and respect farmers 
Rajinder Bhatia,When the Constitution has given the right to the States to make the laws on Agriculture Produce any laws made by the CENTRE have no legal status so where is the question of repealing these BILLS. THE STATE GOVERNNENTS CANNOT IMPLEMENT THESE LAWS & THE HON'BLE PRESIDENT SHOULD REALISE THAT HE HAS BEEN HOODWINKED INTO SIGNING THESE BILLS AND SHOW SOME RESPONSIBILTY & CALL FOR A JOINT SESSION OF PARLIAMENT AND QUESTION THE GOVERNMENT 'S UNCONSTITURIONAL WAY OF FUNCTIONING  WHICH IS MOVING TOWARDS DESTRUCTION OF DEMOCRACY.
Jamaltk Jamaltkmajastik,Bjp rss go back
Ashwani Kumar,In India Physically Handicapped pay Income Tax but Rich and Super Rich Farmers do not .
Chandramokan .V,"Please  continue the stir my dear Punjabi brothers. I would like to contribute towards my Punjabi Farmers. Please provide me details as to where I can send some money. 
A small contribution for my elder brothers and sisters.
I love Punjabis
I love Farmers.
"
Future Tech Tamil,I support this
Anmol saroya,No Farmers No Food So plz support Farmers 
Sam sar,"Government should not buckle down under any circumstances to farm bill reforms.
Let them return Padma shree and Padma bhibhusan award or even form a union/polarization of religion. 
It is a ploy of UPA to weaken the policies of Government and claim political mileage.
Let the national interest prevail."
Pawanpreet Kaur,I support farmers .....from Canada
Jo IAS universe,Illuminati politics going to get end in this world.... people will leave peacefully after that
sulaiman blessed,This gonna be Bad time for this bjp rss
Golden Era Gems,Implement Swaminathan report fully.
Golden Era Gems,Solve the issue or loose public support forever.
Shhaba,Innocent Sikh protestors being lied to and misled by the Indian government and beaten.. the Indian media r the worst media in the world
Karan Sandhu,"Problem faced by farmers- 
1. Msp
2. If any dispute between farmers and corporate people. Court doors are shut for farmers they cant go to any court . They can only go to sdm or maximum to dc . Now you tell me  is a sdm or dc in range of a small farmers in india?
3. Corporate companies can stock their materials to any limit legal which is major cause food crisis and price rise. This is law under which corporate are going to control Indian markets according to them selves legally.
3 . Modi is saying it's going to be 1 nation 1 market. It already 1 market we can sell our crops anywhere in india legally before this. 
4. Ambanis modi says he gone remove middle man from farmers purchase but what actually he is doing is he is involveing middle man in this by law . Artias are not middle man they are service providers. So make it clear farmers want service providers not middle man . 
5. Many many more if you read 3 bills clearly.
6. Stop watching godi media if you want to save this country.  And give me answers all bhagts of modi - which promises he had completed in his pm term please answer me ."
Hariharan hariharan,Please all Indian people's are support  to farmers ..
kavoori prasad,"First and foremost the govt should understand what farmers want.
But, the problem is that the alliance partner....akalidal walked out on the issue from NDA ; this infuriated Namo and Govt. As I see the developments in AP., there is little chance that the government will bow down. 
U can see that the farmers in AP were protesting for the last 350 days and BJP is not only keeping quiet., But is going against them in court of law by its affidavits supporting the ruling YSRCP, to teach a lesson for its alliance partner walking out from NDA"
Ashwani Kumar,"All freebies , subsidies , tax exemptions meant for the small /marginal farmers are usurped by the Rich / Super Rich farmers. NRI owners of agricultural land in Punjab who have not set foot in India for years , bribe Patwaris and show themselves as ' Khud Kasht '- i.e. Actual Tillers , in the Revenue Records . Such NRIs and others then take free electricity etc benefits"
Babuli Mohanta,Central will agree with farmer without any condition. Jay javan jai kishan..........
Inderjit Atwal,Very strange Amit shah ..if you wanted them to not block the borders while talks happen .. you had this choice since very long time .. much before they even started their journey for Delhi..  but you were simply not interested  in talking.. now that they had to block the borders ( because of you since you and govt did not want to listen any other way) - you are asking them to open the borders and then talk .. you could have done that 10 days back .. they only came because you wanted to ignore like other protests
Renjith Raj,"Honestly time to stand together for the United India. BJP destroying Indian future.Sad but true BJP must stop Hindu vote politics and concentrate on Indian farmers problems and economic crisis.Im very disappointed with PM Modiji he is totally changed and not listening peoples problems.He is still acting like third class cheap politician he forgot the value of Indian PM 
I shamed to support BJP .. very bad situation our country is going through.."
Mehparpatti Heparwar,"Crush these farmers ruthlessly. Crush them, beat the shit out of them. 
And celebrate while they are being crushed, and beaten.
Ruthlessness is the key. Ruthlessness."
宋城璋,"Good news,good country,good Indian,continues shouting speaking talking."
kameswari malladi,"honestly, very less people understand the struggles of farmers in India."
venkatesh sreeramulu,"it is a repeat of shaheen Bagh, they have come prepared with truck loads of food items and understand the ration is for 4 months, they are in for a long haul.    God save them"
daljeet daljeet,"   
            
godi media also show fake new 
modi de kutte"
Istyaq Ar,We support farmers
Surya Bk,Poision congress maafiya applied anti india activity
Gurwinder Singh,"Godi media
If fighting for the fundamental rights is Khalistan then , yes we r khalistani yes we r kashmiri."
@ ULTIMATE ASTROLOGER,Subscribe our Channel if your interested in Astrology.
JAYANTA CHAKRABORTY,Congress has to have heavy price for this created nuisance
आल्ला 🐖,"First kick out the Khalistanis , it should be the foremost condition for talk . Most of the protesters are commission agent , who have been putting the farmers in ransom for years and now they want the same to be done with the government and Delhites ."
Shamsudheen shamsu,"Mr, Modi & Amitt, Nobody won't believe your promise, because everybody knews very well that you are a fake.."
nitish Beniwal,"Sir, please get your facts checked the ""Tricolour"" was neither heckled with nor touched during the tractor parade."
Pauli Nydu,Thank you Delhi Police for the security. Resident of Delhi.
Shanthi Mohan,Those eat food will surely support farmers. God please help farmers .
balachandran reena,Is delhi is an another country......Now india under a dictatorship  what the hell is going on .....
Mohd. Moazzam,"10foot wide trench
Concrete Barricades
Barbed Wires
Metal spikes on Road
Security personnel with Metal Rod
More than 10,000 security personnel deployed

Backup-
Rubber Bullets
Denying fuels to enemy for vehicles
Water cannons
Tear Gas 
Tanks and Arms
Extorting Money in the name of damage
Arresting Enemies under National threat.

Vow, so much prepration is going on by Government to Protect it's border from 



Indian Farmer's"
Pawan Rekhan,JAI JAWAN JAI KISHAN KISHAN EKTA JINDABAD LAGE RAHO very good
Deep aman Kaur,Kisano ko preshani ho rai h wo ni dikh rha  apko wo rat ko thand me so rhe h
Typical Procrastinator_13,"U should shut up if you don't know what you're taking about.
Punjab is essential for the production of rice in country.
2 of the major rivers of indus water treaty pass through punjab and fresh water is essential for paddy farms.
Bhai pata nahi tho chup raho. Faltu ki na bakchodi karo.
Morchaa sab jagah par horaha hai. Koi media channel dikhata nahi hai bas.
Cricket stadiums are being hired to contain farmers. 
Sab bhaad mein gaye. Kisan aur jawan ki izzat karna seekho.
Aur agar vo log morcha pe utre tho unke khilaaf nahi support mein khade ho.
Agar tomato kisaan ko 5/kg investment lag raha. Tho kisan vo 5rs tho atleast mile minimum selling price pe aur uski upar ka auction ho.. vo bas itni si baat ka demand kar rahe hai.
Tumhe takleef kis cheez ki mujhe samajh mein nahi aata."
Barnisha Sarkar,Why d rate of potato is so high??
Sunny's life,"They are not farmer's , they are congress paid workers"
Pavan P,Police should stop these terrorist from causing more trouble.
Pratham,"Why did you remove dislike button, cowards?"
Nature,Congress need to stop this circus leading to nowhere
Raju Goswami,"Winter circus of Congress  goons!! But way of stone pelting is similar in Kashmir.
NIA should investigate the stone pelting movement seriously !! May be Bhikharistan ki  support hay yeh stone pelting drama and it's real mastermind Pappu Gaji ko !!!"
Vrushali Gawade,"This are not farmers if they are throwing stone, bracketing and fighting with police and in Punjab CM said that he is not going to follow central govt bill then why this drama by Congress party"
Mera Bharat Mahan,No March of farmers. But unmanaged crowd.
mayank vashishth,As expected
Banti A,"Be Realist, farmers are angry YES but why the HELL anti social Khalistani and Tukde-2 Gang posters are allowed?? Can someone answer HONESTLY?? Why only PUNJAB farmers are getting TRAPPED in LIES and fabricated FEARS. How they know it is not good? Why farmers of rest of India have started benefiting from this law. Give atleast 1-2 years to see how effective or ineffective it is? Right now, just blind assumptions presumptions illusions and misinformation by opposition and Pseduo secular urban naxals, nothing else. Govt already in talks but see ARROGANCE no we dont want AMENDMENTS but only REPEAL? This law is introduced after weeks of discussion in Parliament and those who are opposing now were supporting this? Why? UPA congress has it in their manifesto and their leaders endorsed this in Parliament during their term. Now U-Turn? Meaning theyre eyeing Punjab elections in 2022  as their middlemen (they are RICH with their kids settled abroad) vote bank and money funding to state govt with lot of taxes etc that will get HIT and Farmers will directly get BENEFIT. With research and suggestions from farmers, unions etc for months this came as law for benefit, Modi has been saying since 2016-17 that he wants to double farmer income by 2022."
